token,folio_id,section_label,visual_category,line_global,line_in_folio,token_index_in_line,line_token_count,line_position,paragraph_initial,raw_line_tag
chol,f1r,unknown,unknown,24,25,6,9,line_medial,False,"f1r.25,+P0"
dchy,f1r,unknown,unknown,24,25,7,9,line_medial,False,"f1r.25,+P0"
dal,f1r,unknown,unknown,24,25,8,9,line_final,False,"f1r.25,+P0"
dcheo,f1r,unknown,unknown,25,26,0,10,line_initial,False,"f1r.26,+P0"
shody,f1r,unknown,unknown,25,26,1,10,line_medial,False,"f1r.26,+P0"
koshey,f1r,unknown,unknown,25,26,2,10,line_medial,False,"f1r.26,+P0"
cthy,f1r,unknown,unknown,25,26,3,10,line_medial,False,"f1r.26,+P0"
ok,f1r,unknown,unknown,25,26,4,10,line_medial,False,"f1r.26,+P0"
chey,f1r,unknown,unknown,25,26,5,10,line_medial,False,"f1r.26,+P0"
keey,f1r,unknown,unknown,25,26,6,10,line_medial,False,"f1r.26,+P0"
keey,f1r,unknown,unknown,25,26,7,10,line_medial,False,"f1r.26,+P0"
dal,f1r,unknown,unknown,25,26,8,10,line_medial,False,"f1r.26,+P0"
chtor,f1r,unknown,unknown,25,26,9,10,line_final,False,"f1r.26,+P0"
eo,f1r,unknown,unknown,26,27,0,5,line_initial,False,"f1r.27,+P0"
chol,f1r,unknown,unknown,26,27,1,5,line_medial,False,"f1r.27,+P0"
chok,f1r,unknown,unknown,26,27,2,5,line_medial,False,"f1r.27,+P0"
choty,f1r,unknown,unknown,26,27,3,5,line_medial,False,"f1r.27,+P0"
chotey,f1r,unknown,unknown,26,27,4,5,line_final,False,"f1r.27,+P0"
dchaiin,f1r,unknown,unknown,27,28,0,1,line_initial_final,False,"f1r.28,=Pt"
kchsy,f1v,herbal,herbal,28,1,0,7,line_initial,True,"f1v.1,@P0"
chydaiin,f1v,herbal,herbal,28,1,1,7,line_medial,False,"f1v.1,@P0"
ol,f1v,herbal,herbal,28,1,2,7,line_medial,False,"f1v.1,@P0"
tchey,f1v,herbal,herbal,28,1,3,7,line_medial,False,"f1v.1,@P0"
char,f1v,herbal,herbal,28,1,4,7,line_medial,False,"f1v.1,@P0"
cfhar,f1v,herbal,herbal,28,1,5,7,line_medial,False,"f1v.1,@P0"
am,f1v,herbal,herbal,28,1,6,7,line_final,False,"f1v.1,@P0"
yteey,f1v,herbal,herbal,29,2,0,8,line_initial,False,"f1v.2,+P0"
char,f1v,herbal,herbal,29,2,1,8,line_medial,False,"f1v.2,+P0"
or,f1v,herbal,herbal,29,2,2,8,line_medial,False,"f1v.2,+P0"
ochy,f1v,herbal,herbal,29,2,3,8,line_medial,False,"f1v.2,+P0"
dcho,f1v,herbal,herbal,29,2,4,8,line_medial,False,"f1v.2,+P0"
lkody,f1v,herbal,herbal,29,2,5,8,line_medial,False,"f1v.2,+P0"
okodar,f1v,herbal,herbal,29,2,6,8,line_medial,False,"f1v.2,+P0"
chody,f1v,herbal,herbal,29,2,7,8,line_final,False,"f1v.2,+P0"
da,f1v,herbal,herbal,30,3,0,8,line_initial,False,"f1v.3,+P0"
ckhy,f1v,herbal,herbal,30,3,1,8,line_medial,False,"f1v.3,+P0"
ckhockhy,f1v,herbal,herbal,30,3,2,8,line_medial,False,"f1v.3,+P0"
shy,f1v,herbal,herbal,30,3,3,8,line_medial,False,"f1v.3,+P0"
dksheey,f1v,herbal,herbal,30,3,4,8,line_medial,False,"f1v.3,+P0"
cthy,f1v,herbal,herbal,30,3,5,8,line_medial,False,"f1v.3,+P0"
kotchody,f1v,herbal,herbal,30,3,6,8,line_medial,False,"f1v.3,+P0"
dal,f1v,herbal,herbal,30,3,7,8,line_final,False,"f1v.3,+P0"
dol,f1v,herbal,herbal,31,4,0,6,line_initial,False,"f1v.4,+P0"
chokeo,f1v,herbal,herbal,31,4,1,6,line_medial,False,"f1v.4,+P0"
dair,f1v,herbal,herbal,31,4,2,6,line_medial,False,"f1v.4,+P0"
dam,f1v,herbal,herbal,31,4,3,6,line_medial,False,"f1v.4,+P0"
sochey,f1v,herbal,herbal,31,4,4,6,line_medial,False,"f1v.4,+P0"
chokody,f1v,herbal,herbal,31,4,5,6,line_final,False,"f1v.4,+P0"
potoy,f1v,herbal,herbal,32,5,0,9,line_initial,False,"f1v.5,+P0"
shol,f1v,herbal,herbal,32,5,1,9,line_medial,False,"f1v.5,+P0"
dair,f1v,herbal,herbal,32,5,2,9,line_medial,False,"f1v.5,+P0"
cphoal,f1v,herbal,herbal,32,5,3,9,line_medial,False,"f1v.5,+P0"
