boundary_after_previous_folio,boundary_before_folio,previous_section,current_section,adjacent_distance,conventional_section_boundary,window_3_distance,window_5_distance,window_7_distance,combined_change_point_score
f45v,f46r,herbal,herbal,4.884267804002172,False,1.9094962860139206,1.275469928553598,0.8889362450321027,2.2395425659004484
f46r,f46v,herbal,herbal,1.5836777297413982,False,1.5537912329564294,1.1580274167356928,0.6921371212249956,1.246908375164629
f46v,f47r,herbal,herbal,3.2064750333938834,False,1.9153833913135323,0.7349726742630152,0.706547456751337,1.6408446389304419
f47r,f47v,herbal,herbal,3.2966185270083495,False,1.6439744221802943,1.3457363323153626,1.1491266025927103,1.8588639710241792
f47v,f48r,herbal,herbal,3.772446441016345,False,1.4282152120503595,1.7147953175463166,1.6582297661862417,2.143421684199816
f48r,f48v,herbal,herbal,2.97097474412168,False,1.8178659319205543,0.7378275459869168,1.1703230785718273,1.6742478251502446
f48v,f49r,herbal,herbal,2.5546791482253286,False,1.5788381699135718,0.8776224635956827,1.290819569502129,1.575489837809178
f49r,f49v,herbal,herbal,2.4676679252214515,False,1.2467789537573069,1.5466445296140754,1.1009810163156062,1.59051810622711
f49v,f50r,herbal,herbal,2.7990210187246785,False,2.206971011919899,1.6837471361654308,1.0092521766938451,1.9247478358759635
f50r,f50v,herbal,herbal,1.4821127027073782,False,2.073490422231457,1.1077736593100722,1.0400801656808958,1.4258642374824508
f50v,f51r,herbal,herbal,1.9682975093416262,False,1.302437114398327,1.1076667179142843,0.7373132158871649,1.2789286393853505
f51r,f51v,herbal,herbal,2.37798758246469,False,0.9296239486591874,1.0006610610342621,1.0786273128206991,1.3467249762447098
f51v,f52r,herbal,herbal,2.118319400446334,False,2.0756384117386166,1.7253447405371967,1.3779532057840225,1.8243139396265424
f52r,f52v,herbal,herbal,3.153649969493568,False,2.1297081479462134,2.2747482358977162,1.75062346064007,2.327182453494392
f52v,f53r,herbal,herbal,2.2725093887199748,False,1.9321612602585168,2.068141338397054,1.8200802005196308,2.023223046973794
f53r,f53v,herbal,herbal,3.1717707714955927,False,1.046612707487406,1.5978335434623296,1.8205931573021223,1.9092025449368626
f53v,f54r,herbal,herbal,4.398358929375855,False,2.208468885588963,2.147448994902464,1.9754959181116045,2.6824431819947216
f54r,f54v,herbal,herbal,2.385440335552595,False,1.9222961985004972,1.6356249174888586,1.2045200105987715,1.7869703655351803
f54v,f55r,herbal,herbal,1.9370523653099123,False,1.5881980753645948,1.5893948213263627,1.4143156503422893,1.63224022808579
f55r,f55v,herbal,herbal,2.7252147585819206,False,1.7725798710122966,1.148759829639508,1.4492458895206781,1.773950087188601
f55v,f56r,herbal,herbal,2.8398740788105785,False,1.8636676794025098,1.228238097091955,1.5955043981155,1.8818210633551358
f56r,f56v,herbal,herbal,3.4141399720199628,False,1.8756853748050302,1.6794691173856298,1.647027452647651,2.1540804792145685
f56v,f57r,herbal,herbal,4.197397226461349,False,2.409048946353084,2.532588315550517,1.7736206399052592,2.728163782067552
f57r,f57v,herbal,cosmological,3.3111456422683427,True,2.8410810021321713,2.6363580326092606,1.7154159373943618,2.626000153601034
f57v,f58r,cosmological,unknown,4.004796993294397,True,3.929136792345531,2.3306586725959937,1.608949906562669,2.9683855911996475
