iteration,section_label,sample_size,H_suffix_given_core,suffix_top1
55,biological_balneological,846,0.2774269695487809,0.9167862266857962
55,cosmological,846,0.6944725646590472,0.7935779816513762
55,pharmaceutical,846,0.7004284805847693,0.7945402298850575
55,recipes_stars,846,0.6086728494199019,0.8253094910591472
56,herbal,846,0.5612432183624148,0.823262839879154
56,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
56,biological_balneological,846,0.24031727843841452,0.9311334289813487
56,cosmological,846,0.6816825342530406,0.8040123456790124
56,pharmaceutical,846,0.7255218114560167,0.7901408450704225
56,recipes_stars,846,0.6343767226006939,0.8236111111111111
57,herbal,846,0.7115401274320927,0.7769571639586411
57,astronomical_zodiac,846,0.6925740404555194,0.7965616045845272
57,biological_balneological,846,0.27640064463891184,0.9208211143695014
57,cosmological,846,0.7364873776351446,0.779969650986343
57,pharmaceutical,846,0.6744222377629783,0.8014084507042254
57,recipes_stars,846,0.5899127318280328,0.8317241379310345
58,herbal,846,0.6739871308667702,0.7955882352941176
58,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
58,biological_balneological,846,0.2454110350459728,0.9342105263157895
58,cosmological,846,0.679703958115707,0.7956656346749226
58,pharmaceutical,846,0.6489662813362411,0.7977044476327116
58,recipes_stars,846,0.5111228934998543,0.8518518518518519
59,herbal,846,0.5976724588902046,0.8291233283803864
59,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
59,biological_balneological,846,0.26872986134562343,0.9198813056379822
59,cosmological,846,0.6695446454005047,0.8018575851393189
59,pharmaceutical,846,0.7369362977562294,0.7862266857962698
59,recipes_stars,846,0.5315909589563841,0.8457374830852503
60,herbal,846,0.665981419461526,0.7912912912912913
60,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
60,biological_balneological,846,0.3171035293047194,0.9154727793696275
60,cosmological,846,0.7182050305449171,0.7889908256880734
60,pharmaceutical,846,0.7096865548205833,0.7936507936507936
60,recipes_stars,846,0.5674597406641895,0.8375
61,herbal,846,0.6948910050025382,0.7835365853658537
61,astronomical_zodiac,846,0.6925740404555195,0.7965616045845272
61,biological_balneological,846,0.28742312375495843,0.9199395770392749
61,cosmological,846,0.657891337457488,0.8034591194968553
61,pharmaceutical,846,0.7358747140660769,0.7863128491620112
61,recipes_stars,846,0.5095393586862715,0.8573426573426574
62,herbal,846,0.7551110652537484,0.7790868924889544
62,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
62,biological_balneological,846,0.25937466192872,0.9264069264069265
62,cosmological,846,0.675000912792276,0.8116385911179173
62,pharmaceutical,846,0.6936394961221714,0.7959770114942529
62,recipes_stars,846,0.5738451925813908,0.8335588633288228
63,herbal,846,0.6530027918075608,0.8024316109422492
63,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
63,biological_balneological,846,0.29116702000240097,0.9177679882525698
63,cosmological,846,0.7268570369169114,0.7940717628705148
63,pharmaceutical,846,0.6983869135277644,0.7929078014184398
63,recipes_stars,846,0.5391647638976326,0.8460471567267683
64,herbal,846,0.6872658692571868,0.7936267071320182
64,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
64,biological_balneological,846,0.2886651734810793,0.913235294117647
64,cosmological,846,0.6276627106280851,0.8141993957703928
64,pharmaceutical,846,0.7471851484436545,0.7843137254901961
64,recipes_stars,846,0.5633970275251727,0.8456284153005464
65,herbal,846,0.7222343149372336,0.7893175074183977
65,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
65,biological_balneological,846,0.3093648794013247,0.907185628742515
65,cosmological,846,0.5713177042849963,0.8246153846153846
65,pharmaceutical,846,0.7082497111585407,0.7851123595505618
65,recipes_stars,846,0.564717989759861,0.8345120226308345
66,herbal,846,0.6333929547875565,0.8136645962732919
66,astronomical_zodiac,846,0.692574040455519,0.7965616045845272
66,biological_balneological,846,0.24720588206887453,0.926865671641791
66,cosmological,846,0.6682043954499782,0.8029850746268656
66,pharmaceutical,846,0.7544322895272603,0.7747875354107648
66,recipes_stars,846,0.6129321836334142,0.8245614035087719
67,herbal,846,0.6378416859927197,0.8050974512743628
67,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
67,biological_balneological,846,0.3093368437097466,0.912981455064194
67,cosmological,846,0.7544154654864569,0.7844036697247706
67,pharmaceutical,846,0.6939253475854232,0.7884057971014493
67,recipes_stars,846,0.5644221737535109,0.8455172413793104
68,herbal,846,0.7184765837848395,0.7982326951399117
68,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
68,biological_balneological,846,0.2413785889070849,0.9327485380116959
68,cosmological,846,0.6551619635866325,0.808641975308642
68,pharmaceutical,846,0.6772298518283372,0.8058394160583942
68,recipes_stars,846,0.537676273878742,0.8375706214689266
69,herbal,846,0.6495082985540903,0.8067846607669616
69,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
69,biological_balneological,846,0.334065801114056,0.9074889867841409
69,cosmological,846,0.6734381310377077,0.7978395061728395
69,pharmaceutical,846,0.7620876462513998,0.7704225352112676
69,recipes_stars,846,0.5563749807521634,0.8340192043895748
70,herbal,846,0.6100422969309883,0.8074074074074075
70,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
70,biological_balneological,846,0.28638294685451177,0.9164222873900293
70,cosmological,846,0.6167763822255725,0.8172043010752689
70,pharmaceutical,846,0.7357439468434702,0.78
70,recipes_stars,846,0.5502485550699083,0.8435374149659864
71,herbal,846,0.5674909329481966,0.8328358208955224
71,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
71,biological_balneological,846,0.2706481172447971,0.922173274596182
71,cosmological,846,0.6547823063118894,0.8114374034003091
71,pharmaceutical,846,0.7181715534436346,0.7946175637393768
71,recipes_stars,846,0.5521653958267171,0.8394886363636364
72,herbal,846,0.5705354543467899,0.8220211161387632
72,astronomical_zodiac,846,0.6925740404555188,0.7965616045845272
