token_count,type_token_ratio,mean_token_length,median_token_length,token_entropy,normalized_token_entropy,zipf_slope,prefix_entropy,core_entropy,suffix_entropy,H_suffix_given_core,H_core_given_prefix,MI_core_suffix,suffix_from_core_top1,suffix_from_core_top3,top_token_family_concentration,pcs_valid_count,line_initial_concentration_score,line_final_concentration_score,bigram_entropy,line_internal_shuffled_bigram_entropy,ordering_contribution,same_core_clustering_ratio,same_prefix_core_clustering_ratio,folio_id,section_label,folio_order_n
76,0.9605263157894737,4.921052631578948,5.0,6.168980145022539,0.9966324709756799,-0.09494314054158984,4.155426736215926,4.906106217859218,2.663658149319355,0.6027645785878901,1.4486821554692746,2.060893570731464,0.7777777777777778,0.9682539682539683,0.02631578947368421,63,-2.220446049250313e-16,-2.220446049250313e-16,5.97727992349992,5.977279923499919,-8.881784197001252e-16,0.9535341304676856,1.0746851932262265,f17r,herbal,170
132,0.7803030303030303,4.765151515151516,5.0,6.511012513626882,0.9737548792761013,-0.3447129111405563,3.8814093863793344,4.526635765239766,2.388078419068392,0.646241532534562,1.9431304862829046,1.74183688653383,0.7884615384615384,1.0,0.05303030303030303,104,0.0,0.0,6.749835700923703,6.764514600006273,0.01467889908257014,1.033846153846154,1.1099217234227603,f17v,herbal,171
82,0.7317073170731707,4.878048780487805,5.0,5.740122852385273,0.9717672537650809,-0.40494408046834574,3.791491091058673,4.823700074594072,2.3546964661716587,0.42729903862795915,1.5675010992195701,1.9273974275436998,0.8307692307692308,1.0,0.06097560975609756,65,0.009712883245855286,0.009712883245855286,6.087462841250345,6.081580488309169,-0.00588235294117645,1.0695273431198582,1.0640189685832837,f18r,herbal,180
66,0.8787878787878788,4.424242424242424,4.5,5.771666846631189,0.9852655465136921,-0.2288475482264073,3.406828264217603,4.425979129983102,2.442812121645143,0.4052932501298081,1.7170279255571215,2.0375188715153354,0.84,1.0,0.06060606060606061,50,0.0,0.015141338212453337,5.807354922057609,5.80521206491475,-0.0021428571428590004,0.9120788824979457,0.5405033695502682,f18v,herbal,181
74,0.6486486486486487,4.554054054054054,4.5,5.270132081786697,0.9436289108666698,-0.527361394788805,3.565872002902752,4.31760631553581,1.9197600422583472,0.12315351700428144,1.1762778396119389,1.796606525254065,0.9464285714285714,1.0,0.10810810810810811,56,-2.220446049250313e-16,0.010702744148230137,5.897950452316981,5.90516356707108,0.007213114754098804,1.12673343605547,1.1581850087741288,f19r,herbal,190
74,0.7972972972972973,4.824324324324325,5.0,5.648510460165076,0.9601994227370018,-0.32822454445481714,3.6111051904751625,4.270639207038427,2.6195483218825246,0.4920360875270414,1.4339858299665473,2.1275122343554838,0.7903225806451613,1.0,0.10810810810810811,62,-4.440892098500626e-16,-4.440892098500626e-16,5.906890595608517,5.890638966441129,-0.016251629167387982,0.9016262755102039,1.0605888371035581,f19v,herbal,191
87,0.8850574712643678,5.379310344827586,5.0,6.172716196948413,0.9849890620758152,-0.21805940395596907,3.4928670403456596,5.229165382322265,2.2005427304529634,0.32113647311271976,2.277893861170422,1.8794062573402432,0.881578947368421,1.0,0.04597701149425287,76,-2.220446049250313e-16,-2.220446049250313e-16,6.2094533656289554,6.209453365628956,8.881784197001252e-16,1.1649991521112428,1.370321654908525,f20r,herbal,200
82,0.7926829268292683,4.560975609756097,4.0,5.851335236272637,0.9716004432034497,-0.34429582192893343,3.559395311756957,4.470647611729434,2.0238197904314443,0.47927994855275813,1.6977158220351836,1.5445398418786864,0.8548387096774194,0.9838709677419355,0.04878048780487805,62,-2.220446049250313e-16,0.013340041326134977,6.149747119504677,6.1424231758427075,-0.007323943661969423,1.1194857016182667,0.9256353937872607,f20v,herbal,201
97,0.7835051546391752,5.041237113402062,5.0,6.109091806368199,0.9777789184050784,-0.33610675818224,3.8226250436351856,5.000070520364179,2.173553062525325,0.3139926934845469,1.9286594955721352,1.859560369040779,0.8875,1.0,0.05154639175257732,80,0.011890908425879476,0.0,6.409390936137707,6.403273289078883,-0.006117647058824005,1.1478941103112068,1.287266004159926,f21r,herbal,210
54,0.7592592592592593,5.148148148148148,5.0,5.143414353855063,0.9600306911480395,-0.39719974428527033,3.443543833173379,4.461310596672229,2.1882661809960817,0.17796868035319746,1.4510545927882177,2.0102975006428845,0.9361702127659575,1.0,0.1111111111111111,47,0.020430235452938983,0.020430235452938983,5.5235619560570095,5.507909782143965,-0.015652173913044187,0.8867192724354689,0.5968269957189622,f21v,herbal,211
